3769_27307.html,1,1,元来,副詞,一般,,,,,元来,ガンライ,ガンライ
3769_27307.html,1,2,僕,名詞,代名詞,一般,,,,僕,ボク,ボク
3769_27307.html,1,3,は,助詞,係助詞,,,,,は,ハ,ワ
3769_27307.html,1,4,何ごと,名詞,一般,,,,,何ごと,ナニゴト,ナニゴト
3769_27307.html,1,5,に,助詞,格助詞,一般,,,,に,ニ,ニ
3769_27307.html,1,6,も,助詞,係助詞,,,,,も,モ,モ
3769_27307.html,1,7,執着,名詞,サ変接続,,,,,執着,シュウチャク,シューチャク
3769_27307.html,1,8,の,助詞,連体化,,,,,の,ノ,ノ
3769_27307.html,1,9,乏しい,形容詞,自立,,,形容詞・イ段,基本形,乏しい,トボシイ,トボシイ
3769_27307.html,1,10,性質,名詞,一般,,,,,性質,セイシツ,セイシツ
3769_27307.html,1,11,で,助動詞,,,,特殊・ダ,連用形,だ,デ,デ
3769_27307.html,1,12,ある,助動詞,,,,五段・ラ行アル,基本形,ある,アル,アル
3769_27307.html,1,13,。,記号,句点,,,,,。,。,。
3769_27307.html,2,1,就中,接続詞,,,,,,就中,ナカンヅク,ナカンズク
3769_27307.html,2,2,蒐集,名詞,サ変接続,,,,,蒐集,シュウシュウ,シューシュー
3769_27307.html,2,3,と,助詞,並立助詞,,,,,と,ト,ト
3769_27307.html,2,4,云,名詞,一般,,,,,云,ウン,ウン
3769_27307.html,2,5,ふ,名詞,一般,,,,,ふ,フ,フ
3769_27307.html,2,6,こと,名詞,非自立,一般,,,,こと,コト,コト
3769_27307.html,2,7,に,助詞,格助詞,一般,,,,に,ニ,ニ
3769_27307.html,2,8,は,助詞,係助詞,,,,,は,ハ,ワ
3769_27307.html,2,9,小学校,名詞,一般,,,,,小学校,ショウガッコウ,ショーガッコー
3769_27307.html,2,10,に,助詞,格助詞,一般,,,,に,ニ,ニ
3769_27307.html,2,11,通,名詞,一般,,,,,通,ツウ,ツー
3769_27307.html,2,12,つて,名詞,一般,,,,,つて,ツテ,ツテ
3769_27307.html,2,13,ゐ,動詞,自立,,,一段,連用形,ゐる,ヰ,イ
3769_27307.html,2,14,た,助動詞,,,,特殊・タ,基本形,た,タ,タ
3769_27307.html,2,15,頃,名詞,非自立,副詞可能,,,,頃,コロ,コロ
3769_27307.html,2,16,、,記号,読点,,,,,、,、,、
3769_27307.html,2,17,昆虫,名詞,一般,,,,,昆虫,コンチュウ,コンチュー
3769_27307.html,2,18,の,助詞,連体化,,,,,の,ノ,ノ
3769_27307.html,2,19,標本,名詞,一般,,,,,標本,ヒョウホン,ヒョーホン
3769_27307.html,2,20,を,助詞,格助詞,一般,,,,を,ヲ,ヲ
3769_27307.html,2,21,集め,動詞,自立,,,一段,連用形,集める,アツメ,アツメ
3769_27307.html,2,22,た,助動詞,,,,特殊・タ,基本形,た,タ,タ
3769_27307.html,2,23,以外,名詞,非自立,副詞可能,,,,以外,イガイ,イガイ
3769_27307.html,2,24,に,助詞,格助詞,一般,,,,に,ニ,ニ
3769_27307.html,2,25,未,接頭詞,名詞接続,,,,,未,ミ,ミ
3769_27307.html,2,26,嘗,名詞,一般,,,,,嘗,嘗,嘗
3769_27307.html,2,27,熱中,名詞,サ変接続,,,,,熱中,ネッチュウ,ネッチュー
3769_27307.html,2,28,し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
3769_27307.html,2,29,た,助動詞,,,,特殊・タ,基本形,た,タ,タ
